note;freq
1;65.41
2;69.3
3;73.42
4;77.78
5;82.41
6;87.31
7;92.5
8;98
9;103.83
10;110
11;116.54
12;123.47
13;130.82
14;138.59
15;143.83
16;155.57
17;164.82
18;174.62
19;185
20;196
21;207.65
22;220
23;233.08
24;246.94
25;261.63
26;277.18
27;293.66
28;311.13
29;329.63
30;349.23
31;369.99
32;392
33;415.3
34;440
35;466.16
36;493.88
37;523.26
38;554.36
39;587.32
40;622.26
41;659.26
42;698.46
43;739.98
44;784
45;830.6
46;880
47;932.32
48;987.76
49;1046.52
50;1108.72
51;1174.64
52;1244.52
53;1318.52
54;1396.92
55;1479.96
56;1568
57;1661.2
58;1760
59;1864.64
60;1975.52
